,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0.34,0,0,0,0,0,0,0,23.56142506,16.92476562,62.81695332,26.79993541,11.48280098,4.808559062,3.336609337,1.379302018,1.974201474,0.830774253,113.1511057,72.36393285,155,113.7862408,49.31258263,53.77912776,42.31915801,20.68573752,15.37639239,0,0,0,0,1161.28629,1506.511023,550.6395332,680.7767101,399.97342,98.869857,187.903666,2.474090909,0.996761224,217,113.1977887,7.183046683,3.755051344,1.821867322,0.292802854,2.395577396,3.64339658,2.105651106,1.954856353,0.85995086,1.614256651,1.293611794,0.841994217,0.178132678,0.292802854,1.115479115,1.033257068,0,0,0,0,1000018.673,414075.8364,17.89815725,187.6191646,3.593609337,75.27395577,114.8181818,5.687088452,98.22936118,4.683630221,0.966325553,238.8885995,115.2653563,-0.063882064,1.002088555,66.34610565,12.09039191,47.20286178,6.295570529,91.59168894,25.20323999,1.667009519,113.5528397,4.984412013,0.732594918,100.5344818,31.27723345,2.238150957,0.821756375,106.5475763,15.34987989,81.32074056,61.96630585,1.426003805,1.498699135,1.532816255,1.335468558,1.192486518,1.685377632,1.236201236,1.262522236,0.701211481,1.234681904,1.229162009,0.67224654,1.239387267,15.55069979,183.3172619,2.283837102,0,112.199386,5.502063466,34.81373953,23.24184197,1.299692457,0.721638137,227.8641616,110.1872782,0.389294984,21.63282854,16.28,143
1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,23.04705882,16.64913495,63.64705882,26.18685121,11.63529412,4.758477509,3.294117647,1.370242215,1.952941176,0.799852866,112.7647059,74.13845924,155,112.6117647,49.35363322,52.53336706,41.61369855,20.26179513,15.05724019,0,0,0,0,1160.857412,1516.933666,547.3514118,683.3822722,399.97342,98.51171882,188.4011964,2.478588235,1.017965398,217,110.5529412,7.164705882,3.66366782,1.823529412,0.290657439,2.352941176,3.598615917,2.164705882,1.943252595,0.823529412,1.55017301,1.470588235,0.892733564,0.176470588,0.290657439,1.294117647,1.096193772,0,0,0,0,995290.5882,427536.7206,17.75411765,185.6117647,3.5006,73,117.2588235,5.698,98.66529412,4.625705882,0.981294118,242.7704118,118.0823529,-0.070588235,1.0291155,64.68129412,12.12887014,48.1484682,6.477074234,92.278925,32.84144314,1.921285195,111.4035514,5.007386539,0.75087016,103.7716766,34.38794107,2.461726404,0.837234446,106.9943568,16.1233035,82.16640691,63.45879875,1.408342953,1.467242449,1.502031696,1.337396345,1.150474824,1.653117245,1.248450967,1.266048956,0.674372605,1.234838262,1.234187785,0.697628717,1.257702814,15.47741665,181.4856729,2.239916371,0,114.2648959,5.512837977,34.00504762,22.67786932,1.25899491,0.733405815,235.5662183,112.813452,0.545003595,20.97176057,17,137.4
2,8.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,23.02406219,15.98930296,61.66744817,27.41649006,11.27949161,4.847768283,3.335143139,1.352277256,1.98272458,0.85679512,113.6771964,71.96790025,155,114.7962734,49.42248426,52.2348214,39.80564649,20.84803367,15.64616301,0,0,0,0,1186.930627,1523.334176,569.2406898,690.3645819,399.97342,104.9915578,192.2310541,2.440573791,1.012252015,217,114.9139931,6.863153998,3.358616186,1.808119447,0.310124813,2.38153998,3.628733425,2.025666338,1.99967062,0.647828233,1.235701977,1.204713722,0.805492321,0.191880553,0.310124813,1.012833169,0.99983531,0,0,0,0,994583.5513,414319.4063,17.93657453,188.6325271,3.572901777,76.58378578,114.391535,5.643647581,100.6331614,4.867245188,0.959451135,239.3758411,114.5711994,-0.025666338,0.998510551,68.45051209,13.50516112,51.65158128,5.88337194,94.4827745,28.13894258,1.801248689,119.7358749,5.502045819,0.708035476,110.4684357,33.65756712,2.253402419,0.85800063,117.9233661,15.51106289,80.38684095,61.28705277,1.372475583,1.446095432,1.373236833,1.294824709,1.156834365,1.529740113,1.110152422,1.177962419,0.712321921,1.191551652,1.196616905,0.655356242,1.184550805,15.47310519,184.2476002,2.287930865,0,111.612169,5.450000699,34.675576,24.11352522,1.359920884,0.721121086,227.3108309,109.251062,0.36037551,22.40041601,16.208,135.8
3,8.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,23.04355347,15.99576548,61.63458331,27.43524741,11.27336752,4.848571631,3.33687527,1.352319496,1.982702168,0.857055608,113.7468339,71.95113914,155,114.8595787,49.424028,52.28183096,39.82284455,20.86326834,15.65725674,0,0,0,0,1188.353456,1523.035259,569.9080929,690.204471,399.97342,105.1277328,192.2342201,2.439277198,1.012283633,217,115.0475073,6.8642738,3.362439381,1.807870513,0.310431494,2.384629641,3.631967577,2.023104961,1.99973308,0.648668685,1.237227218,1.203681967,0.805517481,0.192129487,0.310431494,1.01155248,0.99986654,0,0,0,0,994169.2902,414207.8254,17.9416816,188.6800519,3.576046395,76.68314079,114.3829616,5.642108482,100.7592926,4.873274232,0.958720022,239.3630582,114.5446964,-0.023104961,0.997910399,68.53243961,13.50373309,51.62242454,5.881924272,94.41812497,28.13894744,1.800354616,119.6940922,5.499844582,0.70754368,110.462883,33.64914256,2.251662093,0.85762882,117.8927839,15.47752037,80.3464198,61.22625489,1.372924568,1.446669231,1.373052291,1.295744206,1.157881461,1.529607133,1.110022625,1.177810124,0.713339502,1.192295797,1.197656304,0.656031179,1.184344578,15.47511363,184.2935955,2.289976156,0,111.6004757,5.44840506,34.71039049,24.17479511,1.363138409,0.720421989,227.283686,109.2210712,0.359721654,22.44234278,16.187,135.4
4,8,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.92816989,16.91829864,61.95690194,26.96159997,11.31605247,4.773562432,3.374141162,1.374999464,2,0.857170174,114.0224859,71.13863849,165,114.8388507,48.88059891,54.60482099,42.25522474,20.86849851,15.44223531,0,0,0.001230481,0.002459425,1171.288588,1502.388347,560.6849032,681.9085253,399.97342,102.7178587,189.6933403,2.43846346,1.002836687,217,115.2498438,7.187382886,3.778946715,1.812617114,0.30454108,2.498438476,3.748437988,2.001873829,2.000623439,0.874453467,1.639668524,1.187382886,0.812109546,0.187382886,0.30454108,1,0.99937539,0,0,0,0,996690.1936,408600.7542,17.86826983,189.0362274,3.73073579,77.26420987,114.3750781,5.603685197,99.36573392,4.79763273,0.948235478,236.2276921,114.3838226,-0.00062461,0.984776383,67.54824485,12.10153887,49.67291844,5.329869904,90.934232,25.16830829,1.591350306,115.2165511,5.303181056,0.661880727,120.2241827,30.70735701,2.049695023,1.321077175,109.5603087,14.64067506,80.25689584,60.90397369,1.399722448,1.474050654,1.390225685,1.323574636,1.179495473,1.535835667,1.13522276,1.199934725,0.725812528,1.204459694,1.225408027,0.666743952,1.206366625,15.45915214,184.6695472,2.34991339,0,111.6578018,5.400010708,35.59855424,24.23835566,1.359637606,0.70361426,222.1657362,109.1605916,0.303019699,22.38989109,16.01,135
5,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.67301782,16.83612699,62.35341119,26.72570925,11.39028888,4.761158221,3.35218193,1.374621335,2,0.854355741,113.165335,71.37641478,155,114.0639213,48.86154018,53.98605028,42.0363489,20.68014359,15.3112315,0,0,0,0,1154.015612,1506.534208,552.6014751,684.0493966,399.97342,101.0768172,189.7203804,2.454136447,1.002223919,217,113.5980332,7.167793485,3.72819005,1.815611555,0.300778693,2.4585126,3.708168359,2.03318992,1.999449215,0.86047941,1.615183846,1.200983405,0.812276243,0.184388445,0.300778693,1.01659496,0.999724607,0,0,0,0,1001533.682,409727.6537,17.80454825,188.4474493,3.689503995,76.02950215,114.4849416,5.62409957,97.83040565,4.724302397,0.957480639,236.5398789,114.7172711,-0.03318992,0.991195983,66.55445605,13.54286139,51.76549101,5.830870246,94.84502133,28.13910124,1.789982858,120.7031065,5.556375267,0.706711365,109.275425,33.70442876,2.258527557,0.853493977,118.6486875,15.06363857,80.85145854,61.72849085,1.389409111,1.462954928,1.391125119,1.307056893,1.161237387,1.535952346,1.136499044,1.201287834,0.705721463,1.192748864,1.206798746,0.643949055,1.208683791,15.4327814,184.0996863,2.323250061,0,111.805062,5.421042878,35.14276216,23.48108142,1.319952454,0.712379863,222.7308603,109.5351542,0.310572715,21.88491824,16.27,135
6,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.65377532,16.82963144,62.38367096,26.70775738,11.39594843,4.760176678,3.350521793,1.374564231,2,0.854114669,113.1000614,71.39234275,155,114.004911,48.85951039,53.93941228,42.0190947,20.66593224,15.30115715,0,0,0,0,1152.709515,1506.793317,551.9903008,684.1863319,399.97342,100.9527531,189.7158743,2.455346839,1.002182285,217,113.4732965,7.16635973,3.724316891,1.815837937,0.300492795,2.455494168,3.705098014,2.035604665,1.999366154,0.859422959,1.613330515,1.201964395,0.8122425,0.184162063,0.300492795,1.017802333,0.999683077,0,0,0,0,1001917.188,409828.9364,17.79987723,188.402701,3.686384899,75.93615715,114.4929405,5.62558011,97.71448128,4.718772253,0.958174954,236.5554579,114.7421731,-0.035604665,0.991772923,66.47925107,13.54422275,51.79311868,5.832242881,94.90628815,28.13913285,1.790829262,120.7446965,5.558558807,0.707177423,109.281763,33.7124901,2.260176677,0.85384746,118.6781459,15.09456928,80.88882653,61.78553852,1.388952311,1.462388308,1.391297761,1.306166435,1.160224857,1.536081955,1.136623104,1.201433286,0.704758611,1.192013008,1.205797126,0.643305851,1.208879275,15.43093532,184.0563851,2.32124265,0,111.8159114,5.422580799,35.10882696,23.42552253,1.317052036,0.713044734,222.7616012,109.5632684,0.311163741,21.8468485,16.29,135
7,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,23.07801858,16.00710215,61.57647059,27.46830814,11.2625387,4.849957346,3.33993808,1.352383326,1.982662539,0.857516795,113.869969,71.92144201,155,114.971517,49.42636084,52.3649548,39.85303629,20.89020679,15.67681467,0,0,0,0,1190.86935,1522.505668,571.0882167,689.9207888,399.97342,105.3685218,192.2398278,2.43698452,1.012331413,217,115.2835913,6.86625387,3.369196292,1.807430341,0.310973171,2.390092879,3.637676964,2.018575851,1.999827469,0.650154799,1.239923703,1.201857585,0.805555502,0.192569659,0.310973171,1.009287926,0.999913734,0,0,0,0,993436.7802,414010.1177,17.95071207,188.7640867,3.581606811,76.85882353,114.3678019,5.639386997,100.982322,4.883934985,0.957427245,239.3404551,114.4978328,-0.018575851,0.99684919,68.6773065,13.50121355,51.57096228,5.879368731,94.30402135,28.13896402,1.798776628,119.6205819,5.495970358,0.706675547,110.4530684,33.63430471,2.248590421,0.856972263,117.8388623,15.41835679,80.27479474,61.11866889,1.373714017,1.447679258,1.372724589,1.297366431,1.159730555,1.52937048,1.109793637,1.177541394,0.715140085,1.193607808,1.19949151,0.657223522,1.183980523,15.47866565,184.3749541,2.293597182,0,111.579802,5.445584742,34.77203618,24.28351578,1.368846384,0.719187481,227.2356954,109.1680606,0.358568387,22.5166712,16.15,134.7
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.9375,16.921875,61.9375,26.96875,11.3125,4.7734375,3.375,1.375,2,0.857690028,114.0625,71.15528591,155,114.875,48.875,54.627075,42.26494375,20.87547414,15.44752694,0,0,0,0,1171.9675,1502.938363,561.001875,682.1486433,399.97342,102.78204,189.7828237,2.4375,1.0025,217,115.3125,7.1875,3.78125,1.8125,0.3046875,2.5,3.75,2,2,0.875,1.640625,1.1875,0.8125,0.1875,0.3046875,1,1,0,0,0,0,996262.5,408321.2886,17.86875,189.0625,3.732375,77.3125,114.375,5.60375,99.42375,4.8003125,0.9479375,236.32575,114.375,0,0.983266125,67.588125,13.5243404,51.3891879,5.81218298,94.01062211,28.13895487,1.778464599,120.144174,5.52697668,0.700361316,109.1885562,33.59577029,2.236067977,0.848670224,118.2491056,14.64385743,80.33230039,60.94133393,1.395522325,1.470573389,1.388703875,1.31916144,1.175068201,1.534118873,1.13481312,1.199309227,0.719005771,1.202725597,1.220467269,0.652753958,1.206018506,15.4581775,184.6958801,2.351017847,0,111.6560477,5.399948787,35.6125283,24.25820893,1.360471118,0.703303992,222.3087659,109.149464,0.302562091,22.41494713,16,134.35
9,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,23.06868812,16.00404449,61.59220297,27.45937132,11.2654703,4.849586591,3.339108911,1.352367415,1.982673267,0.857391868,113.8366337,71.9294892,155,114.9412129,49.42577934,52.34245136,39.84489028,20.88291396,15.67152727,0,0,0,0,1190.188243,1522.649171,570.7687314,689.9976596,399.97342,105.303335,192.2383085,2.437605198,1.012319503,217,115.2196782,6.865717822,3.367367476,1.807549505,0.310826604,2.388613861,3.636132487,2.01980198,1.999803941,0.649752475,1.239193768,1.202351485,0.805546025,0.192450495,0.310826604,1.00990099,0.99990197,0,0,0,0,993635.0866,414063.6929,17.94826733,188.7413366,3.580101485,76.81126238,114.3719059,5.640123762,100.9219431,4.881048886,0.957777228,239.3465743,114.5105198,-0.01980198,0.997136483,68.63808787,13.50189495,51.58488242,5.880060033,94.33488494,28.13895852,1.799203453,119.6404359,5.497016913,0.706910383,110.455725,33.63831423,2.249421279,0.857149895,117.8534405,15.43435511,80.2942043,61.14780502,1.373500858,1.447406399,1.372813479,1.296927721,1.15923027,1.529434737,1.109855563,1.177614074,0.714652468,1.193253099,1.198995019,0.656900868,1.184079005,15.47770396,184.352925,2.292616327,0,111.5853984,5.44634812,34.75533655,24.25403454,1.367298755,0.71952148,227.2486865,109.1824091,0.358880236,22.49652461,16.16,134.2
